UPRN,Single_Line_Address,Postcode,Local_Authority_District,Longitude,Latitude,Planned,OCC Comment
10011888351,"CHERRY TREES, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0913323,51.9728561,No known plans,*
10011890940,"ELMS FARM, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0910744,51.971928,No known plans,*
10011878216,"HAWTHORNS, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0912922,51.972676,No known plans,*
10011878264,"MOAT COTTAGE 20-21, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0919692,51.9723125,No known plans,*
10011878248,"THE LIMES, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0919294,51.9731759,No known plans,*
10011878215,"10 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0912746,51.9699425,No known plans,*
10011878217,"11 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0908706,51.9704878,No known plans,*
10011878212,"12 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0910183,51.9703811,No known plans,*
10011878219,"14 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.090943,51.9705064,No known plans,*
10011878213,"17 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0903139,51.9713827,No known plans,*
10011878214,"18 BUCKINGHAM ROAD, NEWTON PURCELL, MK18 4AZ",MK18 4AZ,Cherwell,-1.0903412,51.9714728,No known plans,*
10011910303,"3 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0917429,51.9691009,No known plans,*
10011878210,"4 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0916979,51.9691635,No known plans,*
10011878209,"6 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0916676,51.9692262,No known plans,*
10011878126,"9 NEWTON PURCELL, BUCKINGHAM, MK18 4AZ",MK18 4AZ,Cherwell,-1.0913196,51.9698799,No known plans,*
10011924511,"BICESTER WOODCHIP LTD, UNIT 2, MOAT FARM BUILDINGS, BUCKINGHAM ROAD, NEWTON PURCELL, MK18 4AZ",MK18 4AZ,Cherwell,-1.0889735,51.9714352,No known plans,None
10096535226,"TINGEWICK PRE-SCHOOL LTD, MAIN STREET, TINGEWICK, BUCKINGHAM, MK18 4NL",MK18 4NL,Cherwell,-1.0468151,51.9900104,No known plans,None
10011888303,"1 FULWELL FARM COTTAGES, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0884213,52.0051661,No known plans,None
10011888304,"2 FULWELL FARM COTTAGES, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0884794,52.0051756,No known plans,None
10011888305,"3 FULWELL FARM COTTAGES, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0885518,52.0051941,No known plans,None
10011888306,"4 FULWELL FARM COTTAGES, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0886391,52.0052038,No known plans,None
10011926721,"ANNEXE AT, HILLSIDE, STREET THROUGH FULWELL, FULWELL, NN13 5JZ",NN13 5JZ,Cherwell,-1.0876333,52.005232,No known plans,None
10011888307,"CORNER COTTAGE, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.087943,52.0050455,No known plans,None
10011888302,"FULWELL HOUSE, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0906753,52.0075303,No known plans,None
10011888308,"HILLSIDE, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0876333,52.005232,No known plans,None
10011903804,"OXFORDSHIRE COWSHED, FULWELL, BRACKLEY, NN13 5JZ",NN13 5JZ,Cherwell,-1.0960042,52.0113206,No known plans,None
10096916179,"ANNEXE, WARREN FARM, CROUGHTON ROAD, AYNHO, NN13 5LW",NN13 5LW,Cherwell,-1.2241565,51.998571,No known plans,None
10011890918,"ANNEXE ADJACENT, MIDDLE FARM, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1143149,51.9878578,No known plans,None
10011939967,"BUILDING 2, FEATHERBED COURT, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1140042,51.9881072,No known plans,None
